;; -*- coding: utf-8 -*-
[Comment]
纯净二笔
-----------------------------------------
二笔输入法规范编码  作者：承谦堂主	
i/,v 纫 紉
i/. 驭 廵
i/.. 缀 縿 縔 綴
i/.; 缪 繆
i/.e 骙
i/.h 绎 驿
i/.j 经
i/.k 骖
i/.l 骀 绐 紿 緿
i/.m 纾 紓 繘
i/.r 骏
i/.u 骚
i/.v 紁 経
i//; 骉
i//j 綠
i//k 缘 緣
i//m 缫 缁 繅 緇
i//p 繼
i//u 絲
i/;, 练
i/;/ 經
i/;g 純 纯
i/;h 疀 緀 緁
i/;q 绕 彘 骁
i/;r 綫
i/;t 纰 紕
i/;v 绖 絰 緻
i/a 毌
i/a, 纑
i/aa 紪
i/ag 緽
i/ah 绯 緋
i/ak 骥
i/as 绰 綽
i/b 巛 糺 乣 幻
i/bg 緢 绬 緓
i/bj 縙
i/bs 縸
i/bt 繱 纄
i/c 乡
i/dd 绷 綳
i/di 紗 纱
i/dv 糸
i/ea 绗 絎
i/ef 縦
i/ej 斷 紤 斲
i/es 縰
i/ex 縱
i/f 书
i/fc 绡 綃
i/fd 縧
i/fe 紾
i/ff 纖 緃 纵
i/fh 绘 絵 絟
i/fj 驸 缏 緶 紨 繪 綸
i/fk 絥 彔
i/fl 緥 验
i/fn 缑 緱
i/fp 飨 紟 紷 饗
i/fq 絖 絍
i/fs 纀
i/ft 纶 骅
i/fw 绱 紒 緔
i/fy 骓 維 雝 维
i/fz 給 緰 给
i/g. 縎
i/gf 贯 缨 縕
i/gh 巢 缈 骒 驵 縪 貫 綶 彙 繉 絸 縷 緲 紳 縄 絏 纓 組 组 绅
i/gi 綱 纆 網
i/gj 骋 蠡 甾 畿 缧 缱 缋 缌 紬 繢 縲 纝 蠻 繷 綥 繾 繩 緦 緭 細 蚃 蠁 蠿  细 骡
i/gk 紻 骃 絪 驶
i/gl 絗 絅
i/gm 緺
i/gr 綗 巤 納 纳 纲
i/gs 缳 繯 盠 盭 纙 繹
i/gt 驷
i/gx 繃 綑 繀 纗
i/gz 絧
i/h, 线
i/h. 纭 紜
i/ha 績 綪 縤 绩
i/hk 綁 縥 绑
i/hm 纬
i/hr 纉
i/ht 绒 絨
i/hx 纡 紆
i/i; 缣 縑 縌
i/if 緂 災
i/ig 缯 繒
i/ih 缮 骈 绻 絆 絣 縒 綣 繕 絴 绊
i/ij 缕 彝 継 繗 緧 彜 繜 继
i/ik 缢 繸 縊
i/il 綐 縂
i/in 绨 綈
i/iu 絒
i/j 糽
i/j, 絤 綇
i/j. 骊 絚 練 纚 续
i/ja 骐 绀 缂 绁 紺 緙 綨 繖 鄊 紲 緤 緅 骤
i/jf 缙 縉 繬
i/jg 缜 縝
i/jj 繊 纎 續
i/jk 緒 緖 绪
i/jl 続 綕
i/jm 缥 骠 緉 縹 緸
i/jn 缚 缰 绠 縛 綆 繮 繿 纜 縺 轡 綀 繐 縳
i/jp 綍
i/jr 絊
i/jv 纣 紂
i/jy 絿
i/jz 缬 紅 結 繥 纈 红 结
i/k. 绂 紱 纮 紘 紌
i/k/ 絾
i/k; 縅
i/ka 縬
i/kd 絠
i/kf 紑
i/kg 缅 緾 纐 緬 緛 纈 纋
i/kh 缛 縟
i/ko 缭 繚 紎
i/kp 幾 驱
i/ks 絔
i/kv 驮 綊
i/kw 縓
i/kx 彜
i/ky 绮 绔 絝 綺 骑
i/kz 缄 緘
i/l 轡
i/ld 绢 絹
i/lg 縜 绳 邕
i/lj 缉 緝
i/ll 缲 繟 絽 繰
i/lm 邕 繻 骦 繧
i/lr 织
i/m 鄛 糾 纠
i/m; 紦
i/mb 毑 驰
i/mg 绌 絀
i/mh 纽 紐
i/mk 縃
i/mz 緯 孧
i/n, 绋 紼
i/n/ 紭 繈 繏
i/n; 郷
i/na 縀
i/nb 紀 繦 纪
i/nh 繣
i/nj 绿 繝 緑 骕 繍 繡
i/nk 縁
i/nl 骎 綅
i/nm 纼 紖
i/nn 缗 緡
i/nt 骣
i/o 综
i/o, 驼 缤 紽 綩
i/o. 縡
i/o/ 绾
i/oa 緪 縆
i/ob 縮 缩
i/oj 紏
i/om 绾 綰
i/on 综 绽 繽 綋 綄 縇 縖 縯 綻 纻 紵 骔 綜
i/oo 煭
i/ov 糹
i/pb 幾
i/ph 鄉
i/pj 緷
i/pk 骟 編 綟 编 骗 驴
i/pt 紞
i/pv 巡 邋 遦
i/q 毋
i/qa 缍 缵 綞 纴 紝 綎 纘
i/qb 纥 紇
i/qd 緌 綉 绣
i/qg 緟 纁
i/qj 綞 絑
i/qk 紩 彘
i/qm 絁
i/qr 骄 變 繑
i/qs 緮
i/qx 纤 絬
i/r, 紛 纷
i/r. 総
i/r; 絩
i/rf 绤 綌
i/rh 骈
i/ri 缓 绥 绶 綵 綒 緩 縘 綬 綏 縚 絼
i/rk 絺
i/rm 緵
i/rq 繙
i/rr 驳
i/s 剿 剝 剶 劙 驲
i/s; 绲 緄
i/sf 縨
i/sg 缦 縵 缊 緼
i/sj 缇 緹 繓
i/sq 缆
i/st 緆
i/t 络
i/t; 緍 紙 纸
i/te 緫 彖
i/tg 絻
i/tj 紣
i/tl 驹 纔 絇
i/tm 絶 縐 绝
i/tn 绉 驺 繺
i/to 縩 繎 終 终
i/tp 骝 鸶
i/tq 绹 綯
i/ts 绚 絢
i/tt 繲
i/tu 绺 綹
i/tv 络 绸 纨 綢 級 絡 紈 約 级 约 骆
i/ty 绛 绦 綘 縫 絳 缝
i/v 幺
i/v. 紶
i/vi 繨 緈
i/vr 绫 綾
i/vv 絓 繞
i/w, 骢 繌 總
i/w; 綖
i/wb 嚮
i/wh 缎 緞
i/wn 缴 缒 綼 鶨 鶭 繳 綿 絈 鷥 缐 線 鄕 鴢 纅 縋 鶅 绵
i/wx 驯 紃
i/xg 缃 緗
i/xv 絉
i/xx 綝
i/y, 紡 絯 縼 纺 骇
i/y. 統 统
i/y/ 繂 縴 絃
i/yc 纩
i/yf 綷
i/yg 繵 缞 縗
i/yh 纞
i/yi 缔 縍 締 纃 響 骍 繶 織
i/yj 紸 驻
i/yl 骧 缟 縞 綡 纕 綂 綧
i/yq 纊
i/yr 绞 缡 絞 纐 縭 緕 紋 纹
i/yt 袰 絘 絋
i/yv 母
i/yw 缠 纏 纒
i/z 纟 彑 马 丝
i/zl 緎
i/zs 絙
i; 匚 丂 匸 七
i;, 劢 勁 勓 切
i;,l 轺
i;,v 轫 戉
i;,z 妻
i;. 瓦
i;.. 辍 轰
i;.; 翘
i;.j 轻
i;/, 匘
i;/m 辎
i;; 巨
i;;a 匦
i;;c 夷
i;;g 瓲
i;;r 戔 戩
i;;t 兓
i;;v 轾 臸
i;a, 虦
i;ah 匪
i;an 轳
i;b 轧 巪 乬
i;c 万
i;d 牙
i;dv 东
i;e. 瓪 辀
i;ej 斩 匠
i;fe 轸
i;fh 錾 辁
i;ft 轮
i;fy 隿 雅
i;fz 输
i;g 屯
i;gh 瓼 貣
i;gi 辋
i;gj 匮 虿 蠶 螶 轴
i;gr 辋
i;gs 盞
i;h. 转
i;ha 轼
i;hk 臻 辏
i;hx 轩 疌
i;ij 辚 粊
i;j 瓧 车 毕
i;j, 辆
i;ja 辄 甙
i;jl 轱
i;jn 辅
i;jz 巠
i;k. 毙
i;k/ 轭 臹
i;kb 尧
i;kg 頓 臶 頸 甅 頃 顿 顷
i;ks 瓸
i;kv 轪
i;l 辔
i;la 趸
i;lj 辑
i;lr 轵
i;m 郅 邨 郪 邷 邪
i;n 互
i;nq 辗
i;on 辖
i;oo 炁
i;pi 毖
i;pv 逕 迍 连 迈 迓
i;q; 瓱 毞
i;qk 轶
i;qr 轿 攷 致
i;qx 瓩
i;r 戈
i;r, 瓰
i;rq 轷
i;s 暂 朁 剗 旾 晉 剄 到 划
i;s; 辊
i;sg 辒
i;t 旡 兂 比 轨
i;td 轹
i;tf 欤 软
i;tp 鸢 鸦 鸫
i;tv 辂 臵
i;v 弋 堑 坒 坙 夨 至
i;vl 辕
i;wn 鵄 鶛 鵛 鶈 鴺 鴉 鳶 皆
i;x 椠 枈
i;y. 辙 巰
i;yl 辌
i;yr 较
i;yt 辘 袃
i;z 与
i;zl 辐 轲 鬵
ia ├ ┤ 丄
ia, 虏 勮 勴
ia,g 皻
ia,l 龆 齠
ia,z 婓 姕
ia. 攴 叡 叔
ia.; 翡 翽
ia.l 齝
ia.v 壡
ia/u 紫
ia; 虍
ia;. 甗
ia;; 歫
ia;d 齖
ia;j 辈
ia;r 戯 戱 戲 虥 战
ia;z 虐
iaa 卝 止
iaa, 虤
iaa. 敊 敁
iaaa 龇 歮 齾 齜
iaah 韰 非
iaar 歨
iaax 步
iaaz 芈
iab 乩 齓
iad 肻 背 肯
iadi 歩
iadv 祡 尗
iae. 歬
iaec 彪 虨
iaej 龂 齗
iaen 齭
iaf 仧
iafd 虪
iaff 齒
iafh 錖 鈭
iafj 鹸
iafm 齿
iafp 餐 飺 餥 鹶 鹷 齢 齡 龄
iafw 齘
iafy 雌 雐
iafz 鹼
iag. 禼
iagb 卨 卣
iagc 鹵 卥
iage 卥
iagf 赀 贞
iagh 督 龃 覘 虘 鼑 齟 齵 覰 覷 覻 覤 齥 贙 歶 貞 貲 眥 睿
iagj 冀 蜚 膚 盧 虜 慮
iagm 卨
iagn 卣
iagr 卤 鹵 禼 胔
iags 盧
iagt 觑 觇
iagx 齫
iagz 凸
iah 些
iaha 歵
iahb 虧
iahd 祡
iai; 鹻
iaih 鹾 鹺
iaij 粲 歯
iaik 齸
iain 豒
iaj. 歧
iaja 齱 甝 齛 齰
iajg 齻
iajn 龉 軰 輩 齬
iajv 卡
iak, 豦
iakg 颅 頕 顪 顱 頻 頉 頥 频
iakj 歲 歳
iakl 砦
iako 猆 獻 豓
iakv 奌 奜
iaky 齮
iakz 鹹
ial 呰 占
iala 龊 齪
ialh 虞
iall 齶 啙
ialr 齞
iam 酆 邶 鄁
ian; 龈 齦
ianc 卢
ianq 龌 齷
iaoo 点
iapi 虙
iapj 齳
iapo 忐 惄 虑 悲
iapv 遽 迠 逴 逌 遉
iaq; 靟
iaqa 齚
iaqb 龁 齕
iaqg 歱
iaqr 敹  
iar 虡
iaro 鹵
iarq 虖
ias 剕 劌 劇
iasi 虡 虚
iasj 卓
iasm 虛
iat 龀 齔 此 北 虎
iate 虝
iatf 歑 欳 歔
iatg 鮆
iati 處
iatl 齣
iatm 齺
iatn 龅 齙
iatp 鸬
iatt 觜
iatv 歺
iav 壑
iavj 歭
iaw; 齨 齯
iawj 虗
iawn 颦 龋 鴜 鸕 顰 齲 鸆 鵫
iax 棐 梷 桌 柴
iaxx 虨 齼 齽
iayh 訾
iayi 辪 齴
iayr 虔 斐 齩
iayt 裴 裻
iaz 韭 丠 上
iazl 豐 鬳
ib 艹 乀 卝 乛 ┐ 乁 乚   乙 ㄑ
ib, 募 艿 艻 勱 勸 芀 劳
ib,, 荔 茘
ib,. 萾
ib,; 葌
ib,h 菇 薅
ib,l 茄 苕 莻
ib,o 荵 苏
ib,z 茹 蒘 蕠 蒆 蔅
ib. 蒦
ib.. 蔘
ib.; 蓼 藋 蘙
ib.d 藣
ib.e 葵 蕟
ib.f 苡
ib.g 蓪
ib.j 茎
ib.l 苔 葈
ib.m 茅 蓣 蓩 葇 蕷 芧
ib.r 荾
ib.v 芆
ib.y 荬
ib/c 芗
ib/h 莼 荭 荮
ib/k 蒃 药
ib/l 苺
ib/m 菑
ib/n 葘
ib/o 蒓 蒶 蘕 葒 藧 蕝 蘰 蒳 蕬 葯 藴 蘊 蔠 葤
ib/p 苭 茲
ib/r 薌
ib/u 萦 蘻 虆 蕠 繤
ib/y 苺
ib/z 蕴 蓦
ib;, 苆
ib;. 甍
ib;/ 莖 葝
ib;; 荑 苣
ib;d 芽 蕥
ib;g 萅 芚
ib;h 萋 萐
ib;j 荤 莲
ib;q 荛
ib;r 菚
ib;t 荜 蒈 芘 萞
ib;v 薹 荎 菿 芅
iba 把 八 吧 巴 罢 芭 扒 叭 疤 捌 粑 笆 岜
iba, 蘧 蔖 萀 蘆 藘
ibaa 芷 茈 荹 薉 蘋 蕋 蘃
ibag 蓾
ibah 蕜 蘴 虀 韮 菲
ibaj 菽 茮 菝 茇
ibak 苝
ibal 苫
ibat 薒
ibb 艺
ibc, 蔢 菬 荡 菠
ibc. 菭
ibc/ 薻 范
ibc; 蕖 菃
ibca 蔋
ibcd 莎
ibce 蒎
ibcf 虃 蒞 蒤 蕍
ibcg 菹 蕅 薀
ibch 蔳
ibci 蓱
ibcj 蒲 茳 蘫 葓 薸 藫 薄
ibcl 萍 藻
ibcn 葏 蓡 薓
ibcp 蒗 莐
ibcq 萿
ibcr 藩
ibcs 蕩 蘯 蕰
ibct 莈 萢 蒅 落
ibcv 蔆
ibcw 萡
ibcx 莯
ibcy 薃 蓅 茫
ibcz 菏
ibd 蕑
ibd, 荕
ibdc 荹
ibdd 萠
ibdi 藤 蕂 虅
ibdm 菔 萉 蘎
ibdo 慕
ibdq 葄
ibds 﨟
ibdt 葋
ibdv 苶
ibe. 苽 蓏 蒰
ibea 荇
ibed 蘅 乊 蕧 蘌 蓹
ibeg 葎
ibej 芹 菦
iben 蒑
ibeq 蕦
ibes 薇 蓰 藢
ibex 蓯 蒣 葕 蓗
ibez 茩
ibf, 芿
ibf. 葰
ibf/ 苍
ibf; 茷 薎
ibfc 莦 萷
ibfd 莜 蓧 苶 蓚 蓨
ibff 苁 莝 蓌 葅
ibfg 苮 茽
ibfh 荟 荼 荃 蓥 蒨 菳 芢
ibfj 茌 苻 薈 菕 茶
ibfk 茯
ibfl 葆 蔹 莶 藵
ibfn 葔 蘉 葠
ibfo 慕
ibfp 芩 蒼 莟 菍 苓
ibfq 荏 茪 莋
ibft 芲 花
ibfw 芥
ibfx 茠
ibfy 蓓 莅 萑 雚 雈 蒦 舊 藺 蕉
ibfz 荷 葊 荅 蘝 蘞 薟 萮 蘥
ibg. 蓇
ibg; 苢
ibga 苒
ibgf 萞 苬 蒕
ibgg 繭
ibgh 苴 苜 瞢 蓽 萴 薋 薡 蕡 觀 菓 萈 萛 藈 荲 蔞 蔝 藪 萬 莧 蘡 茰 莇 繤
ibgi 蔨 菵
ibgj 茧 萤 蒉 葸 虌 蠆 苖 蠚 蟼 蕢 蔂 蘲 虆 藟 蘽 蟇 莮 乪 蕽 虄 葨 苗
ibgk 茵 蒽 英
ibgl 茴 苘
ibgm 薖 萵
ibgq 菌
ibgr 芮 荥 荝 氹 莔
ibgs 薯 萜 藣 蘯 藅 葢 蓋 蘮 藎 蘿 蕒 蘉 夢 薎 葐 薥 萝
ibgt 苋
ibgv 薗
ibgx 幕 芇
ibgz 茼 蔮
ibh. 芸 藝
ibha 莹 菁 蔜 蔶
ibhb 蕚 芌
ibhd 蒜 茉 苿 蘌
ibhj 藉 葜 蔧 藕
ibhk 蓁 菶 萶
ibhm 苇
ibhr 芙 菾
ibhs 華
ibht 蒙 芜 芫 茙
ibhw 荊 茾
ibhx 芋 芉 丮
ibi/ 蒍
ibi; 蒹 蒴
ibif 薠 蔊 菼 蕿 苂 藀
ibig 蔽 蕲 虌
ibih 蒫 葁 菤 荓 蓔
ibij 薮 蒌 蘱 蒾
ibik 虁
ibil 莌 蓖 萆
ibir 荧
ibiw 蔽
ibiz 葥
ibj 艼
ibj, 茜 蘸 苪 蓜 莤 蒏
ibj. 芰 蘭 萰
ibj; 薵
ibja 茸 苷 萁 葚 藂 蔕 蘳 蓳 蘜 藄 蘣 葉 蘛 蘵 菆
ibjb 蕡
ibjf 薔 莁
ibjg 萳 蒖
ibjh 蕻 萇 驚 驀 蕼
ibji 蔷
ibjj 蔫 藚
ibjk 蓍 荖 蒆 茿 著
ibjl 葫 茝 蘁 苦
ibjm 芾 蕈 蔈 蓛 茦 莿 蕀 葽 薽
ibjn 蕙 莆 蔌 蓸 莗 茞 蓴 菄 莄 蘻 薑 菫 藾 藍 蓮 蒪 菣 蔪 藗 藖 蓒
ibjp 荸 葧
ibjr 苯
ibjv 芐 蒪 蕁
ibjy 莍
ibjz 薣
ibk, 蕤 苈 藸 蓫 茂 茏
ibk. 薨 茇 薤 薧 茢 薞 薚 苃 塟 葬
ibk/ 苊 荿 苉
ibk; 葳
ibka 蒧
ibkf 苤 芣
ibkg 颧 蒇 颟 蕆 荋 顭 顴 虈 荐
ibkh 蓐 莀 蘙
ibki 蕨
ibkj 蔵 薉
ibkl 藞 若
ibkn 藏
ibko 莽 荙 葢
ibkp 荗 蔑
ibkq 藶
ibks 蘷
ibku 菴 薾
ibkv 莢 芖
ibkw 蒝
ibkx 茬 葊 萛
ibky 萘 荂 莾
ibkz 葴
ibl 蔄
ibl, 莂
ibla 莡 躉 蕗 躠
iblf 蓶 荶
iblg 莴 蒷
iblh 菋 茣
iblj 葺 蕺
ibll 萼 莒 蕇 蕚 雚 蘄 营
iblm 蕾 薷 蘎 蕶 蘦 虂 蕓 藿
iblq 荚 莱 苹
iblt 蒊 莻
ibm 酄 鄿 鄚 鄸 鄀 节
ibm, 蒸
ibm; 芭 芤
ibmd 荫
ibmf 菉 蒢 蔭
ibmg 茁 藬
ibmj 蔬 荪 蔯
ibmk 菰 蔣 葿 蘠 蓀 莊
ibmq 荍
ibmr 蘟
ibmt 蕯
ibmy 萨 菡 薩
ibmz 葦 芓 孽
ibn, 茀
ibn. 蒻
ibn/ 苰
ibn; 茛 蔇 莭
ibna 葭 蕸
ibnb 芎 芑 蔃 虇
ibnc 薜 蘗
ibne 苨 荱
ibnh 荨 蕁 茟
ibnj 萧 蕑 蕳 藎 蘭 藺 蔄 菛 蕄 蕭 蔅
ibnk 莙 芛 蔒
ibnl 菷
ibnm 苐
ibnn 苠 葞
ibnq 蔚 藯
ibnr 荩 芵
ibnx 茕
ibo 波 般 薄 拨 柏 播 卜 剥 玻 钵 啵 簸 菠 趵 饽
ibo, 蓉 菀 藭 葖 藛 茓 
ibo. 蔤 藌 薴
ibo/ 荌 茡
ibob 蓿
ibof 蘹
iboj 博 伯 搏 勃 泊 铂 驳 魄 脖 舶 箔 帛 渤 膊 亳 钹 孛 礴 踣 鹁
ibok 跛
ibol 掰 檗 擘
ibom 菅 萓
ibon 莞 萱 苎 蔻 菪 萗 萣 藆 蔲 薲 藔 藼 蔩 荢 苧
iboo 爇 蔒 薫
ibp 蕊
ibph 莨 蒄 蓈 蓢
ibpi 苾
ibpj 葷
ibpk 萹 蔰 菺 芦
ibpo 蕊 芯 惹 蔥 蕜 憼 蕄 蘂 莣 藯 葾
ibps 蔼 蓂
ibpv 芝 遳 邁 逽
ibpw 蒮
ibq. 苌
ibq/ 莓 蘩
ibq; 芼 氋 芞
ibqa 莪 莛 菙 苲
ibqd 莉 萎 藜 莠 薭 藊 藳 蘒 萂 萪 薐 菞 蔾 藒 萩 蘒 蕱 蘓 蕛 蘈 蘶 萫 萟 蒩
ibqg 薰 薫 蘍 董
ibqj 擎 茱 摹 荦 菙 蒛 蒘 苼 蕪
ibqk 苵 薙
ibqr 荞 芺 蕎 敬
ibqx 芊
ibr 艾
ibr, 芬 棻 葐
ibr. 蓊
ibri 藐 莩 荽 薆 蓞 薶 蕣 薍 蔿 蒵 萲 蘨 菜
ibrk 莃
ibrm 葼
ibrq 蕃 苸
ibrs 苅
ibrx 蔱
ibs 暮 荆 蒯 劐 萅 剳 蕳
ibs; 菎
ibsd 萌
ibsg 蔓 萺 蒀
ibsi 薱
ibsj 莳 蕞 草
ibsk 莫
ibsq 蓝 葃
ibss 菖 蕌
ibst 葛
ibsv 蒔
ibsx 菒
ibt 艽 芁
ibt. 芟 芶
ibt; 芪 茚 茋
ibte 葱 芴 茐
ibtf 芡 歡
ibtg 蓟 藓 菟 萯 薊 葂 藑 蘇 莬 蘚 蒬
ibth 蘏 苚
ibti 茤 菊
ibtj 葡
ibtk 薝
ibtl 苟 茍
ibtm 蒭
ibtn 苞
ibto 蔡 苳
ibtp 莺 苑 鹳 鹋 茑 蒥 藰 鹲 茒 葾
ibtq 莸 蕏 蘔 薿 获 萄
ibtr 荻 蕕
ibts 荀
ibtt 茆 蔛 葪 莥 薢
ibtv 茗 芍 芨 芄 蓌 茖 萈 蘷 夢 芃 芕 蕵 羐
ibtw 萏 飌 葻
ibty 蓬 荈 莑
ibtz 蔔
ibu, 萔
ibu. 萚
ibu; 蓵
ibub 蔺
ibud 莏
ibuf 蓷
ibug 菗 蘀
ibuh 荴
ibuj 蒱
ibuk 菝
ibuq 葀
ibut 菢
ibuy 菈
ibv 茔 芏 蘲 塟 墓
ibv. 厾 蓋
ibvi 蕔 薘 蓻
ibvl 薳
ibvr 爇 蓺 藝 菱
ibvt 莰 羐 荺
ibvv 葑 茥 蕘
ibvy 蘾
ibw, 蓖 蔥
ibw. 薁
ibw; 萸 萖 舊 蓃 蕮 莚
ibwh 葮 虋 藇
ibwj 茊
ibwn 薛 葩 虱 蔸 萆 鴱 苩 菂 鸛 蘤 鷨 葟 藠 蘬 鶜 鸏 鶓 蔦 糵 葲 蒒 蒐 鷋 莵 蒠 薂 薬 藥 鶧 萭
ibx 藁 檠 蘗 棻 菒 蘽 蔾 虊 葇 蘂 蘃 葈 葉 荣
ibxe 菥
ibxf 藮
ibxg 葙
ibxl 莕
ibxo 蒁
ibxp 萙
ibxr 菘
ibxv 荰 蓕
ibxx 菻
ibxz 藲
iby, 蔟 菸 荄 葹 蔙 芳 荒
iby. 茺 莣
iby/ 蓄 蕹
ibya 荘
ibyb 芒
ibyc 蘑 蘼 蔴 藦 蓙
ibyd 蒋
ibye 菧
ibyf 萃 苄
ibyg 蓑
ibyh 藹 虊 謩 蔎 藷 蘐 警
ibyi 蒂 薪 菩 莘 蒡 薏 萻 蔀 蔐 藡 蕫 虀 菨 蒟 苙 蘢 薺 藽 蔏 藙 蔁
ibyl 蒿 葶 藳 薧 蘘 藃
ibyq 蔗 蓭 蓆
ibyr 荠 茭 蒺 蓠 蓘 蔉 藱 萕 蘺 薕 芠 萒
ibyt 茨 藵 藨 薼 薋 菮 苀 薦 蔍 蘪 蓎
ibyv 蓤
ibzf 蕐 萊
ibzl 苛 荳 葍 蒚 蓲 虉
ibzs 荁
ic 氵 丿
ic, 氻
ic,. 沒 溋 泼
ic,c 汤
ic,g 波
ic,l 沼 泇
ic,o 涊
ic,p 澀
ic,u 涩
ic,z 汝 娑 洳 嬱 婆
ic. 汉
ic.. 涰 滲
ic.; 濯 瀈 漻 漝 瀥 瀷 濢
ic.e 澄 湀 溌 潑
ic.f 泤 滩
ic.g 湧 涌
ic.h 泽
ic.j 泾
ic.k 渗
ic.l 治
ic.m 潏 渘 汿 滪 澦
ic.q 洠 涘
ic.r 浚
ic.t 沇
ic.u 溞
ic.v 汊
ic/ 氾
ic/b 灉
ic/j 淥
ic/k 湪
ic/m 淄 漅
ic/n 湽
ic/o 濰
ic/p 泑
ic/v 胤
ic/z 潍
ic; 滙 汅 汇
ic;, 沏 泧
ic;. 溼
ic;/ 涇
ic;; 洰 洟
ic;a 渐
ic;g 沌
ic;h 淒
ic;j 涟
ic;n 沍
ic;q 浇
ic;r 淺
ic;t 沘 湝 灊 潛
ic;v 浳 洷
ica, 滹 淲 滮 澽 瀘 濾 澞 滤
ica. 潊
icaa 涉 濒 瀕 泚 渋 澁 渉 濊 沚
icag 浈 滷 湞
icah 渄 灃 灧 灩
icaj 淑
ical 沾
ican 泸
icap 濬
icas 淖
icat 瀣 澯
icb 乼 乷
icba 淽
icbf 濸 溚 濩
icbg 澫 渵 瀎 渶
icbh 澕
icbj 灆 满
icbk 漭 渃
icbl 灌
icbn 潇 灡 瀟
icbp 涝 滢 潆 濛 溁
icbs 濗 漠
icbt 濍
icbv 濭
icby 淓 瀳
icbz 渮
icdd 淜
icdi 渻 沙
icdj 浉
icdm 淝
ice. 汳 泒 瀊 洀
icea 洐
icec 涁
iced 澓 潃
icef 沠
icej 沂 泝
icel 测 册 策 侧 厕 恻 刂
icen 溵 参
ices 瀓 漇
icet 派
icex 漎
icez 洉
icf 汄
icf/ 沧
icf; 浌
icfc 消
icfd 滌 滫 滺 浟
icfe 沴
icff 瀸 溣
icfh 淦 鎏 溆 浍 鋈 鍙 錃 洤 涻 鍌 漵 潊 涂
icfj 泭 澮 淪
icfk 洑
icfl 潋 湺
icfn 洢
icfp 泠 湌 滄 汵 浛 淰
icfq 洸
icfr 澢 灙 漟
icfs 濮
icft 沦 沎
icfw 淌 溑
icfy 淮 潗 潐 灕 涖 灘 灉
icfz 洽 渝 瀹 澰 瀲 潝 渰
icg. 滑
icga 湍 溰 澂 湠 溦 漄
icgd 溄
icgf 泅 漴 潂 溫 测 溅
icgh 渺 沮 濉 涠 滭 測 淉 濺 湨 浬 漊 濹 浿 灈 瀃 濎 涀 洩 瀴 湡 泪
icgi 潶
icgj 溃 渭 漯 澧 涸 漶 淠 沖 甶 渱 潰 灅 濃 溿 涄 浀 瀜 灗 澠 沺 淟 渨 瀢 灔 灎 潩 溭 油 浊
icgk 泱 溷 洇
icgl 洄 泂
icgm 濄 潿 渦
icgr 浻 汭 涾 渁
icgs 潀 盪 盜 盕 澴 瀱 濖 盓 澤 濁
icgt 泗
icgx 汕 涔 漼 潉 涃 漰 屲 峾
icgz 漍 洞
ich, 浅
ich. 沄
icha 渍 滶 璗 瀞 瑬 潖 淸 濪 濏 溸 漬 清 汪
ichb 汚 污
ichd 沬 沶 沫
ichj 滟 沣 湱 潔 洭 洡
ichk 涛 溱 湊 淎 溙 湷
ichr 潜 濽 添
ichs 溝
icht 沅
ichw 汫 汧
ichx 涆 汙 汗
ici. 沩
ici/ 溈
ici; 滋 溯 濨 溓
icif 澇 燙 濙 濚 濴 瀠 瀯 灐 瀅
icig 潎 潧
icih 漾 泮 淃 渼 洴 溬 漛 潫 瀁 溔 浂 湵 渆 渕 溠 洋
icij 瀵 湴 澊 潾 溇 洣 潽 湭 粱
icik 溢 渞 澻
icil 涚
icin 涕
icir 淡 烫
iciu 洲
iciz 湔
icj 汀 準 汁 漂
icj, 酒 洒
icj. 渎 湅 灑 汥
icj/ 沔
icj; 濤 沔
icja 湛 潢 淇 洱 澌 泔 滠 渫 漢 聻 漌 澑 満 滿 湈 濝 潵 灄 灘 滯 港 洪 泄
icjb 濆
icjf 溍 濇
icjg 滇 淔 湳
icjh 澒 溤 涱
icjj 泟 瀻 瀆 瀐 漹
icjk 渚 泋 漖 洘 涍
icjl 沽 涜 濲 瀔 瀫 洍 潱 湖
icjm 漂 潭 沛 溧 湮 洓 潥 沞 洅
icjn 浦 溥 濑 漱 漕 浯 涑 涷 浭 潓 漸 溂 瀨 瀬 濫 灠 漣 瀶 灢 瀭 潄 漙
icjp 渤 浡 溹
icjr 沭 泍
icjs 滞 瀚 漧 澣 濣 潮
icjv 湗
icjy 浗
icjz 澍 渱 鼝 渽 溨 江 洁 澎
ick, 沥 涿 泷 浝 瀦
ick. 洌 叐 沷 汯 沋
ickb 濿
ickd 洧
ickg 湎 瀕 湹 洏 澒 湏 洊 瀬 渜 灦 瀀
ickh 溽 浱 滣 漘
icki 漺 洃
ickl 碆 滅 硰 沰
icko 汰 潦 汱 
ickp 沤
ickq 瀝
icks 洦
icku 淹 濔
ickv 涯 汏 浹
ickw 源
icky 渀 渏 洿
ickz 澸 減
icla 潞 浞
icld 涓
iclg 涡 渑 涢 溳
iclh 洖 浧
iclj 湒 濈
icll 澡 湂 澏 潬
iclm 濡 灞 瀖 澪 瀮 灀 浥 澐
iclq 浃 涞 泙
iclt 況
icm 漷
icm, 泐 洆
icma 滍
icmb 池
icmf 滁
icmg 濻 泏
icmh 沑
icmk 湄 瀡 湑
icmt 漋
icmy 涵
icmz 汓 湋 汛
icn 汈
icn, 沸 涨
icn. 溺
icn/ 泓 潠
icn; 溉 泿
